"ageGroup","NDR.HbA1c (mmol/mol)","NDR.HbA1c <52 (Andel %)","NDR.HbA1c >70 (Andel %)","NDR.Insulinbehandlade med insulinpump (Andel %)","NDR.Insulinbehandlade med CGM (Andel %)","NDR.n_patienter_2013","NDR.n_patienter_2016","NDR.patientTillväxt (%)","Landsting"
"50-59",61.7,19.2,0.3,16.3,40.3,276,349,26.4492753623188,"Jönköpings län "
"50-59",63.8,13.7,2.5,15.5,7.7,173,183,5.78034682080926,"Kronobergs län "
"50-59",60.9,24.2,1.3,11.5,36.6,182,196,7.69230769230769,"Kalmars län "
"50-59",61.8,19.7,0,24.1,18,44,61,38.6363636363636,"Region Gotland "
"50-59",60.7,19.8,1.2,7.5,45.3,121,172,42.1487603305785,"Blekinge län "
"50-59",63.1,17.7,0.4,16,31,710,919,29.4366197183099,"Region Skåne "
"50-59",61.5,19.8,0.9,16.3,55.4,187,240,28.3422459893048,"Region Halland "
"50-59",60.9,21,1,16.4,55.5,1203,1455,20.9476309226933,"Västra Götalands region "
"50-59",62.1,11.9,0.4,13.2,27.4,208,248,19.2307692307692,"Värmlands län "
"50-59",62.2,19.2,2.4,18.9,37.9,251,273,8.76494023904382,"Örebros län "
"50-59",62.4,17.6,0.9,18.8,24.5,200,274,37,"Västmanlands län "
"50-59",63.3,13.9,0.5,21.9,45.5,241,244,1.24481327800829,"Dalarnas län "
"50-59",61.8,18,1,14.5,15.5,210,206,-1.90476190476191,"Gävleborgs län "
"50-59",59.5,23.4,0,18.5,42.5,163,193,18.4049079754601,"Västernorrlands län "
"50-59",61,16.3,0,22.9,28.1,98,98,0,"Jämtlands län "
"50-59",64.2,14.5,0,18.5,32.9,203,226,11.3300492610837,"Västerbottens län "
"50-59",64.7,10.7,0,13.8,9.5,149,168,12.751677852349,"Norrbotten "
"60+",60.8,18,1.4,11.3,10.4,1554,1837,18.2110682110682,"Stockholms län "
"60+",61.9,20.3,2.4,13.5,11.4,406,450,10.8374384236453,"Uppsalas län "
"60+",61,20.4,1.3,12.4,33.9,286,345,20.6293706293706,"Södermanlands län "
"60+",61.9,15.7,1.1,15.9,24.8,497,577,16.0965794768612,"Östergötlands län "
"60+",61.6,17.8,1.8,13.1,37.8,306,390,27.4509803921569,"Jönköpings län "
"60+",62.6,11.8,1.4,10.9,5.9,290,338,16.551724137931,"Kronobergs län "
"60+",61,21.3,1,11.2,23.7,203,255,25.615763546798,"Kalmars län "
"60+",59.5,18.5,0,17.2,20.2,94,119,26.5957446808511,"Region Gotland "
"60+",59.7,26,0.3,13.1,29.2,257,309,20.2334630350195,"Blekinge län "
"60+",61.6,18.9,2.1,10.6,25.4,1132,1451,28.1802120141343,"Region Skåne "
"60+",59.1,22.1,1.7,11.5,35.6,267,361,35.2059925093633,"Region Halland "
"60+",60.1,21.6,2,12.2,42.7,1683,2163,28.5204991087344,"Västra Götalands region "
"60+",62.8,15.5,2,12.8,14.7,317,368,16.0883280757098,"Värmlands län "
"60+",61.1,19.1,1.4,16,26.2,416,457,9.85576923076923,"Örebros län "
"60+",60.9,15.4,0.6,17.2,8.8,271,377,39.1143911439114,"Västmanlands län "
"60+",62.4,14.5,0.7,14.4,29.1,314,463,47.4522292993631,"Dalarnas län "
"60+",60.5,20.9,2.8,12.3,12.7,300,329,9.66666666666667,"Gävleborgs län "
"60+",60.4,19.6,1.6,11,26.9,248,298,20.1612903225806,"Västernorrlands län "
"60+",61.7,18.6,0.7,15.3,22,145,167,15.1724137931035,"Jämtlands län "
"60+",61.6,20.4,1.9,10.1,27.6,231,287,24.2424242424242,"Västerbottens län "
"60+",62.4,16.4,0,12.9,6.1,170,231,35.8823529411765,"Norrbotten "
